epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.1087,2.16708,3.46055,2.1298,0.4594,0.02018,0.0093,0.00228,2.95088,14.4004,3.34328,0.00331852,0.00331852,0.0701333
2,62.5235,2.15519,3.33277,2.14309,0.31357,0.05593,0.01743,0.00631,2.54845,7.06219,2.53176,0.0066299,0.0066299,0.0401114
3,89.2183,2.10814,3.21549,2.08557,0.48417,0.06853,0.03975,0.01263,2.49451,3.85533,2.36132,0.00991928,0.00991928,0.0100674
4,115.847,2.04188,3.11881,2.03194,0.3332,0.09028,0.03329,0.0097,2.42258,3.93661,2.25233,0.009901,0.009901,0.009901
5,142.248,1.99222,3.04987,1.99641,0.34438,0.09391,0.0509,0.01691,2.47958,3.10145,2.44174,0.009868,0.009868,0.009868
6,168.926,1.98005,3.01497,1.97732,0.79335,0.07536,0.05745,0.01537,2.57891,3.27965,2.42312,0.009835,0.009835,0.009835
7,195.848,1.94588,2.91341,1.93671,0.4967,0.1082,0.02927,0.00789,2.5954,3.77035,2.4698,0.009802,0.009802,0.009802
8,222.293,1.9334,2.88565,1.91432,0.5308,0.10613,0.07217,0.02163,2.45784,2.90946,2.31046,0.009769,0.009769,0.009769
9,248.833,1.8963,2.82106,1.88999,0.23598,0.13969,0.07949,0.0215,2.42326,2.85795,2.24817,0.009736,0.009736,0.009736
10,275.355,1.8802,2.79166,1.86998,0.57759,0.11114,0.09353,0.0325,2.38719,2.84711,2.1969,0.009703,0.009703,0.009703
11,302.091,1.87916,2.76086,1.87771,0.52885,0.09388,0.06867,0.0202,2.38064,3.20999,2.16941,0.00967,0.00967,0.00967
12,328.635,1.85743,2.71935,1.853,0.28631,0.18532,0.0998,0.0308,2.35992,2.65978,2.14504,0.009637,0.009637,0.009637
13,354.502,1.8347,2.66432,1.82668,0.37838,0.20351,0.10821,0.03388,2.3163,2.73001,2.13105,0.009604,0.009604,0.009604
14,381.009,1.83613,2.65691,1.82299,0.67865,0.12461,0.10803,0.03639,2.33607,2.71201,2.1349,0.009571,0.009571,0.009571
15,407.367,1.82476,2.63219,1.82497,0.11275,0.19728,0.1011,0.04048,2.07433,2.6644,1.93166,0.009538,0.009538,0.009538
16,433.702,1.8187,2.62426,1.80546,0.45187,0.15545,0.10089,0.04262,1.99265,2.88534,1.89979,0.009505,0.009505,0.009505
17,460.032,1.77968,2.56498,1.7899,0.14428,0.23899,0.13788,0.05598,2.01886,2.5263,1.90477,0.009472,0.009472,0.009472
18,486.545,1.78434,2.56927,1.79214,0.26135,0.2261,0.12113,0.04702,2.11051,2.64175,1.94904,0.009439,0.009439,0.009439
19,513.063,1.78361,2.53731,1.78873,0.15709,0.24586,0.12787,0.04155,2.32588,2.61372,2.10138,0.009406,0.009406,0.009406
20,539.419,1.75903,2.4674,1.74966,0.20805,0.24939,0.1543,0.07045,1.9309,2.30385,1.8254,0.009373,0.009373,0.009373
21,565.854,1.75152,2.47259,1.76138,0.17513,0.28464,0.15794,0.05962,2.05548,2.38836,1.85641,0.00934,0.00934,0.00934
22,592.256,1.76098,2.48708,1.77031,0.31079,0.19593,0.13389,0.05922,1.96457,2.48524,1.85753,0.009307,0.009307,0.009307
23,618.71,1.74816,2.44566,1.74306,0.22404,0.22952,0.17181,0.07644,1.94547,2.48164,1.83059,0.009274,0.009274,0.009274
24,645.427,1.71814,2.4236,1.73783,0.17158,0.28844,0.15156,0.06743,1.93235,2.52109,1.81824,0.009241,0.009241,0.009241
25,671.82,1.734,2.40073,1.74222,0.17149,0.18697,0.13078,0.06129,1.95304,2.46951,1.83574,0.009208,0.009208,0.009208
26,698.362,1.72596,2.4213,1.73487,0.42809,0.17966,0.13375,0.06371,1.87972,2.58312,1.7741,0.009175,0.009175,0.009175
27,724.821,1.70949,2.37185,1.70432,0.17131,0.28054,0.1639,0.07715,1.85568,2.30641,1.75803,0.009142,0.009142,0.009142
