epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.8308,1.77242,3.05151,1.8566,0.19729,0.28846,0.17344,0.04695,2.25688,2.62348,2.0737,0.000298905,0.000298905,0.000298905
2,21.8497,1.68972,2.83116,1.78094,0.28693,0.21637,0.14664,0.03699,2.41847,2.95422,2.26193,0.000599919,0.000599919,0.000599919
3,32.4612,1.77216,2.91594,1.82808,0.19497,0.19722,0.14465,0.06014,2.1226,2.69834,1.83173,0.000898933,0.000898933,0.000898933
4,41.9339,1.79241,2.94023,1.88959,0.19016,0.22105,0.15251,0.05842,2.05501,2.69546,1.99092,0.000900001,0.000900001,0.000900001
5,51.3732,1.77996,2.85252,1.88182,0.2552,0.33604,0.20246,0.06201,2.29924,2.72972,2.09143,0.000897001,0.000897001,0.000897001
6,60.7607,1.78277,2.84602,1.87183,0.18655,0.34165,0.19342,0.08792,1.79633,2.50993,1.71978,0.000894001,0.000894001,0.000894001
7,70.1456,1.75529,2.73012,1.83752,0.32695,0.27342,0.22397,0.09456,1.94209,2.28174,1.78219,0.000891002,0.000891002,0.000891002
8,79.5279,1.74232,2.70848,1.81625,0.2563,0.29499,0.22992,0.09502,1.99744,2.38942,1.8632,0.000888002,0.000888002,0.000888002
9,88.8324,1.72524,2.67451,1.83832,0.32775,0.31471,0.25584,0.10736,1.92395,2.39637,1.79771,0.000885002,0.000885002,0.000885002
10,98.2498,1.71127,2.58499,1.8094,0.31506,0.3903,0.29265,0.12202,1.88022,2.19987,1.75669,0.000882003,0.000882003,0.000882003
11,107.721,1.69675,2.53596,1.79116,0.27579,0.38949,0.27714,0.12383,1.77924,2.40084,1.71587,0.000879003,0.000879003,0.000879003
12,117.118,1.70596,2.5213,1.77722,0.37344,0.3616,0.29598,0.14658,1.69508,2.07414,1.63769,0.000876003,0.000876003,0.000876003
13,126.701,1.697,2.49336,1.81026,0.30849,0.27601,0.24259,0.11296,1.91661,2.2596,1.78457,0.000873004,0.000873004,0.000873004
14,136.125,1.66876,2.44815,1.77787,0.36683,0.39801,0.33511,0.14316,1.87842,2.09603,1.73566,0.000870004,0.000870004,0.000870004
15,145.537,1.67812,2.45729,1.77596,0.36933,0.3758,0.33149,0.15538,1.79903,2.00691,1.68873,0.000867004,0.000867004,0.000867004
16,154.997,1.65796,2.42786,1.7601,0.4089,0.38121,0.34949,0.16079,1.76605,2.04387,1.66396,0.000864004,0.000864004,0.000864004
17,164.383,1.64451,2.3994,1.74562,0.40187,0.41931,0.33435,0.13862,1.9826,2.04613,1.83143,0.000861005,0.000861005,0.000861005
18,173.755,1.64187,2.31778,1.74067,0.40871,0.3628,0.31663,0.14044,1.86349,2.12999,1.73583,0.000858005,0.000858005,0.000858005
19,183.167,1.65775,2.32311,1.7551,0.33515,0.38485,0.31817,0.15697,1.73398,2.07845,1.65493,0.000855005,0.000855005,0.000855005
20,192.587,1.62986,2.33624,1.74747,0.45468,0.37608,0.37149,0.18459,1.68978,2.05012,1.64534,0.000852006,0.000852006,0.000852006
21,202.107,1.64678,2.34756,1.76206,0.39478,0.36614,0.33316,0.13988,1.92585,2.0202,1.80689,0.000849006,0.000849006,0.000849006
22,211.522,1.61748,2.27697,1.75104,0.40693,0.44212,0.37561,0.167,1.89301,1.89716,1.7381,0.000846006,0.000846006,0.000846006
23,221.061,1.63224,2.27176,1.74278,0.40393,0.46905,0.40351,0.18372,1.80508,1.87265,1.6905,0.000843007,0.000843007,0.000843007
24,230.473,1.60209,2.25266,1.71017,0.34696,0.44431,0.34598,0.16802,1.73272,1.98523,1.62534,0.000840007,0.000840007,0.000840007
25,239.868,1.63734,2.2774,1.75508,0.39811,0.39325,0.33965,0.18523,1.59655,1.91076,1.57199,0.000837007,0.000837007,0.000837007
