epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,433.494,1.74407,2.56823,1.90504,0.24012,0.31636,0.24369,0.1105,1.94511,2.25976,1.87299,0.008581,0.008581,0.008581
45,443.158,1.70674,2.5752,1.87892,0.2576,0.32053,0.2296,0.09223,2.04672,2.33913,1.95706,0.008548,0.008548,0.008548
46,452.802,1.71254,2.54329,1.87167,0.29303,0.34358,0.24731,0.12032,1.84089,2.17952,1.79719,0.008515,0.008515,0.008515
47,462.558,1.72877,2.54631,1.87927,0.34654,0.28923,0.25045,0.11539,1.93134,2.18118,1.8468,0.008482,0.008482,0.008482
48,472.246,1.72009,2.52883,1.86631,0.26724,0.32952,0.23379,0.09598,2.01016,2.29806,1.9094,0.008449,0.008449,0.008449
49,481.872,1.69568,2.48334,1.84817,0.27897,0.35726,0.2566,0.12213,1.9022,2.21532,1.85471,0.008416,0.008416,0.008416
50,491.56,1.68647,2.5252,1.86086,0.29851,0.31299,0.27627,0.12608,1.85169,2.19675,1.85248,0.008383,0.008383,0.008383
51,501.265,1.70014,2.5278,1.85761,0.27977,0.3571,0.27575,0.13245,1.81707,2.0818,1.77728,0.00835,0.00835,0.00835
52,510.956,1.721,2.5333,1.86198,0.30869,0.3791,0.29417,0.13765,1.84838,2.15206,1.78571,0.008317,0.008317,0.008317
53,520.732,1.67788,2.47042,1.84665,0.2784,0.34015,0.28699,0.1466,1.70669,2.32113,1.70726,0.008284,0.008284,0.008284
54,530.514,1.67756,2.44369,1.83994,0.32579,0.35008,0.31286,0.1481,1.83183,2.02804,1.792,0.008251,0.008251,0.008251
55,540.497,1.68926,2.42545,1.8267,0.28681,0.37826,0.28198,0.11965,1.98212,2.12263,1.86096,0.008218,0.008218,0.008218
56,550.19,1.66581,2.43804,1.82085,0.377,0.35067,0.30157,0.15212,1.71999,2.0649,1.71921,0.008185,0.008185,0.008185
57,560.213,1.66654,2.42901,1.81796,0.29516,0.35284,0.25888,0.11349,1.93896,2.24484,1.86871,0.008152,0.008152,0.008152
58,570.113,1.6767,2.48279,1.85376,0.38795,0.30942,0.30699,0.15681,1.74381,2.03107,1.73501,0.008119,0.008119,0.008119
59,579.729,1.69327,2.45502,1.84479,0.30577,0.41073,0.28315,0.14005,1.75319,2.07689,1.74032,0.008086,0.008086,0.008086
60,589.462,1.68877,2.43325,1.83697,0.34598,0.34021,0.30575,0.14073,1.88915,2.05125,1.81952,0.008053,0.008053,0.008053
61,599.045,1.66614,2.39842,1.8159,0.31818,0.36712,0.30066,0.14551,1.7965,2.08143,1.7397,0.00802,0.00802,0.00802
62,608.771,1.64947,2.38393,1.8248,0.32928,0.39416,0.30265,0.1409,1.80654,2.07681,1.764,0.007987,0.007987,0.007987
63,618.624,1.68452,2.4193,1.85796,0.32122,0.36791,0.30383,0.13575,1.90868,2.12803,1.82163,0.007954,0.007954,0.007954
64,628.323,1.66128,2.39039,1.82835,0.32044,0.36933,0.29558,0.14496,1.80683,2.06576,1.76092,0.007921,0.007921,0.007921
65,638.064,1.66347,2.44482,1.84365,0.31336,0.36167,0.29881,0.14762,1.70836,2.09875,1.71346,0.007888,0.007888,0.007888
